Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-08-02 15:42,-0.077,0.025,1,0,0,0,p
2018-08-02 15:48,-0.094,0.029,1,0,0,0,p
2018-08-02 15:54,-0.118,0.029,1,0,0,0,p
2018-08-02 16:00,-0.123,0.025,1,0,0,0,p
2018-08-02 16:06,-0.138,0.024,1,0,0,0,p
2018-08-02 16:12,-0.150,0.034,1,0,0,0,p
2018-08-02 16:18,-0.174,0.037,1,0,0,0,p
2018-08-02 16:24,-0.207,0.034,1,0,0,0,p
2018-08-02 16:30,-0.210,0.037,1,0,0,0,p
2018-08-02 16:36,-0.209,0.037,1,0,0,0,p
2018-08-02 16:42,-0.226,0.038,1,0,0,0,p
2018-08-02 16:48,-0.221,0.048,1,0,0,0,p
2018-08-02 16:54,-0.238,0.037,1,0,0,0,p
2018-08-02 17:00,-0.253,0.035,1,0,0,0,p
2018-08-02 17:06,-0.267,0.034,1,0,0,0,p
2018-08-02 17:12,-0.285,0.032,1,0,0,0,p
2018-08-02 17:18,-0.287,0.036,1,0,0,0,p
2018-08-02 17:24,-0.293,0.028,1,0,0,0,p
2018-08-02 17:30,-0.302,0.028,0,0,0,0,p
2018-08-02 17:36,-0.297,0.027,0,0,0,0,p
2018-08-02 17:42,-0.298,0.022,0,0,0,0,p
2018-08-02 17:48,-0.309,0.031,1,0,0,0,p
2018-08-02 17:54,-0.304,0.029,1,0,0,0,p
2018-08-02 18:00,-0.302,0.035,1,0,0,0,p
2018-08-02 18:06,-0.292,0.028,1,0,0,0,p
2018-08-02 18:12,-0.295,0.030,0,0,0,0,p
2018-08-02 18:18,-0.284,0.031,1,0,0,0,p
2018-08-02 18:24,-0.292,0.029,1,0,0,0,p
2018-08-02 18:30,-0.262,0.033,1,0,0,0,p
2018-08-02 18:36,-0.256,0.030,0,0,0,0,p
2018-08-02 18:42,-0.252,0.037,0,0,0,0,p
2018-08-02 18:48,-0.252,0.036,1,0,0,0,p
2018-08-02 18:54,-0.235,0.036,0,0,0,0,p
2018-08-02 19:00,-0.254,0.038,1,0,0,0,p
2018-08-02 19:06,-0.244,0.036,1,0,0,0,p
2018-08-02 19:12,-0.246,0.038,0,0,0,0,p
2018-08-02 19:18,-0.230,0.039,1,0,0,0,p
2018-08-02 19:24,-0.220,0.034,1,0,0,0,p
2018-08-02 19:30,-0.215,0.034,0,0,0,0,p
2018-08-02 19:36,-0.207,0.038,1,0,0,0,p
2018-08-02 19:42,-0.193,0.028,1,0,0,0,p
2018-08-02 19:48,-0.192,0.033,1,0,0,0,p
2018-08-02 19:54,-0.175,0.027,1,0,0,0,p
2018-08-02 20:00,-0.156,0.026,0,0,0,0,p
2018-08-02 20:06,-0.136,0.027,0,0,0,0,p
2018-08-02 20:12,-0.120,0.028,1,0,0,0,p
2018-08-02 20:18,-0.103,0.031,0,0,0,0,p
2018-08-02 20:24,-0.092,0.025,1,0,0,0,p
